Name,Hispanic,API,Black,AIAN,White,race,freq
smith,0.0026,0.0024,0.1069,0.0059,0.8815,White,0.01302
jones,0.003,0.0023,0.2086,0.0066,0.7786,White,0.01032
taylor,0.0018,0.0007,0.091,0.0018,0.9041,White,0.00817
williams,0.0044,0.0019,0.2924,0.0053,0.6948,White,0.00734
brown,0.0027,0.0032,0.1623,0.0069,0.824,White,0.00679
davies,0.0007,0.0015,0.2348,0,0.763,White,0.00566
evans,0.0003,0.0005,0.7657,0,0.2334,Black,0.00414
wilson,0.0166,0.0164,0.1279,0.0056,0.832,White,0.00406
thomas,0.0024,0.0075,0.125,0.0026,0.8618,White,0.00393
roberts,0.003,0.0018,0.0585,0.0037,0.9323,White,0.00392
johnson,0.003,0.0084,0.2219,0.0057,0.7598,White,0.00384
lewis,0.0026,0.0018,0.1473,0.0035,0.8441,White,0.00354
walker,0.0022,0.001,0.1406,0.0033,0.8521,White,0.00349
robinson,0.0179,0.0071,0.2893,0.0032,0.6807,White,0.00335
wood,0.0015,0.0037,0.019,0.004,0.9713,White,0.00333
thompson,0.002,0.004,0.1237,0.0069,0.8625,White,0.00327
white,0.0024,0.002,0.0823,0.0185,0.8939,White,0.00325
watson,0.0024,0.0048,0.1399,0.0053,0.8467,White,0.00324
jackson,0.0028,0.0036,0.2748,0.0047,0.7128,White,0.00309
wright,0.002,0.0023,0.1264,0.005,0.8636,White,0.00307
green,0.0021,0.003,0.1259,0.0057,0.8624,White,0.00297
harris,0.0035,0.0077,0.1873,0.0033,0.7961,White,0.00288
cooper,0.0016,0.0009,0.0798,0.0021,0.9151,White,0.00288
king,0.0044,0.0251,0.0969,0.0059,0.866,White,0.00287
lee,0.0019,0.438,0.055,0.0028,0.5014,White,0.00285
martin,0.0361,0.0041,0.0396,0.0024,0.9173,White,0.00273
clarke,0.0031,0.0017,0.1084,0.0011,0.885,White,0.00272
james,0.003,0.0034,0.1552,0.007,0.8305,White,0.00272
morgan,0.0017,0.0006,0.0484,0.0025,0.9464,White,0.00268
hughes,0.0025,0.0022,0.0654,0.0036,0.9256,White,0.00264
edwards,0.0037,0.0022,0.1449,0.0046,0.8436,White,0.00264
hill,0.0033,0.0047,0.112,0.0146,0.8645,White,0.0026
moore,0.0026,0.0018,0.1296,0.0046,0.8605,White,0.00258
clark,0.003,0.0021,0.0535,0.0023,0.9387,White,0.00251
harrison,0.0023,0.0032,0.1036,0.0057,0.8845,White,0.00245
scott,0.0012,0.0007,0.0892,0.0025,0.9058,White,0.0024
young,0.0023,0.1894,0.0719,0.0039,0.7313,White,0.00235
morris,0.0027,0.0019,0.0932,0.0032,0.8983,White,0.00235
hall,0.0019,0.0029,0.0802,0.0039,0.9105,White,0.00232
ward,0.0014,0.0011,0.0492,0.0021,0.9457,White,0.00224
turner,0.0012,0.0011,0.117,0.0021,0.878,White,0.00224
carter,0.0016,0.0014,0.1234,0.0021,0.8708,White,0.00222
phillips,0.0023,0.0029,0.0768,0.0044,0.9129,White,0.00218
mitchell,0.0025,0.0011,0.0991,0.0026,0.894,White,0.00218
patel,0,0.9992,0,0,0.0007,API,0.00214
campbell,0.0017,0.0015,0.0751,0.0036,0.9174,White,0.00207
adams,0.0032,0.0035,0.1103,0.0039,0.8777,White,0.00207
anderson,0.0056,0.0046,0.0854,0.0036,0.8999,White,0.00206
allen,0.003,0.0032,0.0852,0.0022,0.9057,White,0.00202
cook,0.002,0.0037,0.0422,0.0057,0.9457,White,0.00199
bailey,0.0015,0.0006,0.0591,0.0013,0.937,White,0.00198
miller,0.0025,0.002,0.0394,0.0033,0.9523,White,0.00196
parker,0.0013,0.0008,0.0736,0.0021,0.9217,White,0.00196
davis,0.0031,0.0048,0.135,0.0033,0.8529,White,0.00193
murphy,0.0025,0.0034,0.0452,0.0036,0.9448,White,0.0019
bell,0.0061,0.0051,0.1182,0.0052,0.8644,White,0.00189
price,0.0015,0.0014,0.076,0.0027,0.9178,White,0.00189
baker,0.0018,0.005,0.0473,0.0047,0.9395,White,0.00187
griffiths,0.0019,0.0022,0.0077,0.0002,0.9878,White,0.00186
kelly,0.0022,0.0018,0.0381,0.0011,0.9564,White,0.00183
simpson,0.0041,0.0062,0.0986,0.0039,0.8862,White,0.0018
marshall,0.0017,0.0011,0.0974,0.0022,0.897,White,0.00174
collins,0.0002,0.0005,0.6822,0,0.3171,Black,0.0017
bennett,0.002,0.0019,0.0515,0.0024,0.9416,White,0.00169
cox,0.0021,0.0022,0.0366,0.0047,0.9539,White,0.00166
richardson,0.0059,0.0036,0.2203,0.0053,0.7636,White,0.00165
fox,0.002,0.0055,0.0139,0.0063,0.9718,White,0.00165
gray,0.002,0.0018,0.08,0.0045,0.911,White,0.00162
rose,0.0087,0.0043,0.0346,0.0017,0.95,White,0.00159
chapman,0.0025,0.005,0.0472,0.0037,0.9409,White,0.00158
hunt,0.0017,0.0028,0.0473,0.0194,0.9283,White,0.00155
robertson,0.0078,0.0071,0.0978,0.0056,0.8807,White,0.00154
shaw,0.0015,0.0251,0.0711,0.0026,0.8987,White,0.00154
reynolds,0.0034,0.0017,0.0623,0.0018,0.9302,White,0.00153
lloyd,0.0028,0.0026,0.0782,0.001,0.9148,White,0.00152
ellis,0.0029,0.0021,0.1006,0.0018,0.892,White,0.00152
richards,0.0022,0.0026,0.0558,0.0049,0.9338,White,0.00149
wilkinson,0.0026,0.0028,0.0177,0.0014,0.9749,White,0.00148
russell,0.0017,0.0011,0.0444,0.0021,0.9501,White,0.00148
khan,0.0005,0.9732,0.0021,0.0003,0.0131,API,0.00144
graham,0.0011,0.0008,0.0706,0.0018,0.9252,White,0.00143
stewart,0.0019,0.0014,0.0774,0.0021,0.9167,White,0.00141
reid,0.0017,0.0015,0.096,0.0013,0.8988,White,0.00141
powell,0.0023,0.0022,0.1026,0.0024,0.8898,White,0.00138
murray,0.0014,0.0009,0.055,0.0015,0.9409,White,0.00138
palmer,0.0029,0.0014,0.0655,0.0025,0.9273,White,0.00136
rogers,0.0025,0.002,0.0824,0.0032,0.9093,White,0.00134
holmes,0.0057,0.002,0.1627,0.0061,0.8225,White,0.00134
stevens,0.0061,0.0042,0.0572,0.0071,0.9245,White,0.00133
walsh,0.0026,0.0028,0.0037,0.0008,0.9896,White,0.00131
hunter,0.0014,0.0007,0.1063,0.0025,0.8885,White,0.00129
thomson,0.0024,0.0213,0.0191,0.002,0.9544,White,0.00128
matthews,0.0027,0.0006,0.4518,0,0.5449,White,0.00127
ross,0.0027,0.0015,0.0598,0.0019,0.9336,White,0.00125
owen,0.002,0.0026,0.0062,0.0019,0.987,White,0.00125
knight,0.0022,0.0033,0.0535,0.0074,0.9327,White,0.00125
mason,0.0022,0.0013,0.0723,0.0017,0.9218,White,0.00125
kennedy,0.0029,0.0026,0.0784,0.002,0.9135,White,0.00124
butler,0.0016,0.0019,0.145,0.0057,0.845,White,0.00124
saunders,0.0031,0.0038,0.1182,0.0049,0.8691,White,0.00123
cole,0.0012,0.0006,0.0463,0.0015,0.95,White,0.00123
pearce,0.0012,0.0018,0.0143,0.0021,0.9802,White,0.00123
dean,0.0019,0.0029,0.0395,0.0013,0.9538,White,0.00122
foster,0.0022,0.0022,0.1337,0.0029,0.8582,White,0.00121
harvey,0.0039,0.0028,0.0831,0.0043,0.9053,White,0.0012
hudson,0.0022,0.0021,0.0959,0.0026,0.8964,White,0.00119
gibson,0.004,0.0035,0.1107,0.0043,0.8766,White,0.00119
mills,0.0027,0.0016,0.0586,0.0031,0.9334,White,0.00118
berry,0.0024,0.0029,0.0881,0.0025,0.9033,White,0.00116
pearson,0.002,0.0033,0.1076,0.0019,0.8846,White,0.00115
barnes,0.0018,0.0015,0.1428,0.0033,0.8497,White,0.00115
kaur,0.0001,0.9957,0,0,0.0042,API,0.00115
booth,0.0019,0.0012,0.0259,0.0025,0.968,White,0.00113
grant,0.0016,0.0013,0.1162,0.0027,0.8775,White,0.00113
dixon,0.0072,0.0083,0.1496,0.004,0.8297,White,0.00113
gordon,0.0015,0.0026,0.0873,0.0018,0.9062,White,0.00112
lane,0.0013,0.001,0.0447,0.0029,0.9496,White,0.00111
harper,0.0017,0.0015,0.0914,0.0017,0.9031,White,0.00111
ali,0.0034,0.8188,0.0305,0.0008,0.1118,API,0.00109
hart,0.0037,0.0031,0.0405,0.0028,0.9493,White,0.00109
lawson,0.0012,0.0014,0.0871,0.0021,0.9076,White,0.00091
day,0.0039,0.0086,0.0305,0.0102,0.9461,White,0.0009
woods,0.0025,0.0028,0.1512,0.0068,0.8356,White,0.0009
black,0.0019,0.0028,0.0522,0.0169,0.9256,White,0.0009
rees,0.0012,0.0028,0.0035,0.0008,0.9913,White,0.0009
fraser,0.0011,0.0026,0.0352,0.0015,0.959,White,0.00089
fletcher,0.0019,0.0013,0.076,0.0019,0.9184,White,0.00089
hussain,0.0004,0.9629,0.0022,0.0002,0.0191,API,0.00089
willis,0.0017,0.0025,0.1434,0.0041,0.8476,White,0.00089
ahmed,0.0012,0.8212,0.0281,0.0005,0.1093,API,0.00089
marsh,0.002,0.002,0.0339,0.0024,0.9592,White,0.00088
doyle,0.001,0.0005,0.0158,0.0014,0.981,White,0.00088
lowe,0.0059,0.0128,0.0602,0.0041,0.916,White,0.00087
hopkins,0.0019,0.0031,0.069,0.0041,0.9212,White,0.00087
nicholson,0.0046,0.007,0.1148,0.0046,0.8678,White,0.00086
burns,0.0032,0.0015,0.0384,0.002,0.9543,White,0.00086
parry,0.0017,0.0138,0.0075,0.001,0.9753,White,0.00085
jordan,0.0062,0.0013,0.1058,0.0018,0.8844,White,0.00085
newman,0.0026,0.0057,0.0456,0.005,0.9403,White,0.00085
howard,0.0013,0.0025,0.0971,0.0019,0.8967,White,0.00084
henderson,0.0066,0.0028,0.1678,0.0048,0.8171,White,0.00083
barrett,0.0015,0.0009,0.0375,0.0011,0.9586,White,0.00083
burton,0.0017,0.0014,0.0813,0.0015,0.9136,White,0.00083
riley,0.0016,0.0007,0.0551,0.0017,0.9405,White,0.00083
porter,0.0024,0.0012,0.0931,0.0024,0.9004,White,0.00082
byrne,0.0028,0.0027,0.0007,0.0003,0.9931,White,0.00081
john,0.0063,0.0942,0.077,0.0381,0.7828,White,0.0008
baxter,0.0016,0.0014,0.0409,0.0024,0.9532,White,0.0008
perry,0.0023,0.0025,0.0902,0.0023,0.902,White,0.00079
mccarthy,0.0024,0.0035,0.0154,0.0013,0.9769,White,0.00079
burke,0.0013,0.0009,0.0215,0.0011,0.9748,White,0.00079
houghton,0.0018,0.003,0.006,0.0091,0.9797,White,0.00079
ball,0.0023,0.0054,0.0315,0.0034,0.957,White,0.00078
elliott,0.0025,0.001,0.0404,0.0016,0.954,White,0.00078
cooke,0.0025,0.0021,0.0542,0.0052,0.9354,White,0.00078
read,0.0021,0.0034,0.0066,0.001,0.986,White,0.00077
francis,0.0216,0.0307,0.1716,0.0078,0.7663,White,0.00077
gallagher,0.0025,0.0011,0.0013,0.001,0.9938,White,0.00077
duncan,0.0015,0.0014,0.0633,0.0021,0.9311,White,0.00077
sharp,0.0015,0.0032,0.0222,0.0068,0.9658,White,0.00076
austin,0.0024,0.0014,0.0775,0.002,0.9161,White,0.00076
wallace,0.0018,0.0022,0.1054,0.0022,0.8877,White,0.00076
hawkins,0.002,0.0025,0.1667,0.0051,0.8229,White,0.00076
hayes,0.0018,0.0012,0.0908,0.0022,0.9035,White,0.00076
sutton,0.0016,0.0008,0.0616,0.002,0.9335,White,0.00076
davidson,0.004,0.0038,0.0607,0.0035,0.927,White,0.00075
holland,0.0015,0.0007,0.0573,0.0015,0.9385,White,0.00075
moss,0.0016,0.0017,0.0677,0.0027,0.9257,White,0.00074
may,0.0165,0.0607,0.025,0.0025,0.8935,White,0.00073
bates,0.0031,0.0019,0.0634,0.0023,0.9288,White,0.00073
bob,0.0055,0.0115,0.1976,0.074,0.7098,White,0.00073
oliver,0.0211,0.0083,0.102,0.0025,0.865,White,0.00073
kemp,0.0016,0.002,0.0825,0.0022,0.9111,White,0.00073
page,0.0015,0.0014,0.0556,0.0013,0.9397,White,0.00073
morrison,0.0033,0.0028,0.0723,0.006,0.9149,White,0.00073
arnold,0.0154,0.0076,0.0369,0.0019,0.9373,White,0.00072
stevenson,0.0072,0.0069,0.2472,0.0023,0.7346,White,0.00072
shah,0.0002,0.9919,0.0004,0.0001,0.0045,API,0.00071
ford,0.0027,0.0042,0.1164,0.0034,0.8724,White,0.00071
flynn,0.0019,0.0023,0.0072,0.0018,0.9864,White,0.00071
potter,0.0019,0.0033,0.0205,0.003,0.9707,White,0.0007
kent,0.0015,0.0045,0.0237,0.0011,0.9687,White,0.0007
field,0.0017,0.0045,0.009,0.0025,0.9819,White,0.0007
warren,0.0019,0.0024,0.0811,0.0021,0.9119,White,0.0007
alexander,0.0193,0.0102,0.1166,0.0022,0.8506,White,0.00069
freeman,0.0025,0.0027,0.1364,0.0038,0.8539,White,0.00069
rhodes,0.0033,0.001,0.0814,0.0026,0.9111,White,0.00069
begum,0,0.9628,0,0,0.037,API,0.00068
middleton,0.0013,0.0019,0.1091,0.0037,0.8833,White,0.00068
oneill,0.0155,0.0038,0.0031,0.0006,0.9764,White,0.00067
payne,0.0023,0.0018,0.0856,0.002,0.9077,White,0.00067
stephenson,0.0052,0.0037,0.0786,0.0024,0.909,White,0.00067
pritchard,0.0027,0.007,0.0226,0.0069,0.96,White,0.00067
gregory,0.0022,0.0008,0.0498,0.0015,0.9453,White,0.00066
bond,0.0016,0.007,0.0743,0.0041,0.9121,White,0.00066
webster,0.0045,0.0045,0.0928,0.0048,0.8924,White,0.00066
dunn,0.0032,0.0093,0.0418,0.003,0.942,White,0.00066
donnelly,0.0032,0.0042,0.0035,0.0017,0.987,White,0.00065
lucas,0.0137,0.0053,0.0461,0.0012,0.9331,White,0.00065
long,0.0022,0.318,0.0214,0.0059,0.6508,White,0.00065
jarvis,0.0019,0.0012,0.0481,0.0017,0.9466,White,0.00064
stephens,0.0021,0.0023,0.0871,0.0045,0.9033,White,0.00064
coleman,0.0017,0.001,0.2044,0.0016,0.7906,White,0.00064
cross,0.0032,0.0026,0.0498,0.0064,0.9375,White,0.00064
bull,0.002,0.0035,0.0196,0.0095,0.9646,White,0.00063
obrien,0.0018,0.0009,0.0052,0.0009,0.9909,White,0.00063
reed,0.0012,0.0009,0.0596,0.0024,0.9354,White,0.00063
nicholls,0.0121,0.0024,0.0127,0.0008,0.9715,White,0.00063
bartlett,0.001,0.0014,0.009,0.0014,0.9867,White,0.00062
bird,0.0031,0.0127,0.0097,0.0145,0.9593,White,0.00062
patterson,0.003,0.0024,0.1263,0.0058,0.8617,White,0.00062
tucker,0.0012,0.0004,0.069,0.0018,0.9272,White,0.00062
curtis,0.0011,0.0008,0.0603,0.0025,0.9348,White,0.00062
bryant,0.0058,0.0019,0.1743,0.0028,0.8145,White,0.00061
lynch,0.0057,0.0042,0.0341,0.0062,0.9492,White,0.00061
mackenzie,0.0015,0.0007,0.0024,0.0004,0.9946,White,0.00061
ferguson,0.0021,0.0018,0.0655,0.0033,0.9267,White,0.00061
cameron,0.0023,0.0009,0.0556,0.0015,0.9392,White,0.00061
lopez,0.8854,0.0121,0.0033,0.0054,0.0934,Hispanic,0.00061
haynes,0.0022,0.0017,0.1487,0.0031,0.8435,White,0.00061
hardy,0.0041,0.0083,0.1429,0.0063,0.8372,White,0.00061
davey,0.0033,0.0035,0.012,0.0013,0.9795,White,0.00061
bolton,0.0018,0.0014,0.0688,0.0027,0.9247,White,0.0006
heath,0.0008,0.0003,0.0361,0.0012,0.9612,White,0.0006
rice,0.003,0.0044,0.0441,0.0046,0.9434,White,0.00059
ashton,0.0021,0.001,0.045,0.0009,0.9505,White,0.00059
french,0.0033,0.0034,0.0193,0.0047,0.9688,White,0.00059
jacobs,0.0023,0.0024,0.0726,0.0211,0.9009,White,0.00059
parsons,0.0023,0.0026,0.0081,0.0024,0.984,White,0.00059
gilbert,0.0523,0.0076,0.0511,0.0036,0.8844,White,0.00058
hodgson,0.0087,0.0026,0.0049,0.0024,0.981,White,0.00058
robson,0.0054,0.004,0.0057,0.0011,0.9827,White,0.00058
farrell,0.0012,0.0013,0.0149,0.0027,0.9796,White,0.00058
mcintyre,0.002,0.0012,0.0344,0.0035,0.9585,White,0.00058
norman,0.004,0.0035,0.0775,0.0016,0.9126,White,0.00058
walton,0.0031,0.0021,0.1425,0.0015,0.8501,White,0.00057
newton,0.0041,0.0068,0.0798,0.0024,0.9059,White,0.00057
higgins,0.0017,0.0014,0.0384,0.0029,0.9551,White,0.00057
bishop,0.002,0.0019,0.0522,0.0019,0.9413,White,0.00057
simmons,0.0018,0.0019,0.1637,0.0033,0.8285,White,0.00057
sharma,0,0.9958,0.0002,0,0.004,API,0.00057
sutherland,0.003,0.0027,0.0247,0.0014,0.9677,White,0.00057
kay,0.0014,0.015,0.0141,0.0016,0.9674,White,0.00056
burgess,0.0017,0.0027,0.0781,0.0036,0.9133,White,0.00056
hutchinson,0.0024,0.004,0.0769,0.0018,0.9139,White,0.00056
moran,0.0435,0.0042,0.0088,0.0037,0.9391,White,0.00056
slater,0.002,0.0011,0.0483,0.0019,0.9462,White,0.00056
greenwood,0.0022,0.0019,0.0326,0.0023,0.9604,White,0.00056
kirk,0.0013,0.0009,0.0278,0.0025,0.967,White,0.00056
fernandez,0.7384,0.0794,0.0073,0.002,0.1719,Hispanic,0.00056
atkins,0.0028,0.0035,0.1114,0.0024,0.8789,White,0.00056
daniel,0.0279,0.0131,0.0739,0.0015,0.8828,White,0.00056
maxwell,0.0027,0.002,0.1151,0.0017,0.8777,White,0.00056
frost,0.0024,0.0045,0.02,0.0047,0.9677,White,0.00056
garcia,0.8797,0.0169,0.0025,0.0057,0.0948,Hispanic,0.00055
beattie,0.0039,0.0022,0.0059,0.0004,0.9872,White,0.00055
todd,0.0008,0.0005,0.0287,0.0011,0.9686,White,0.00055
paul,0.004,0.0195,0.0417,0.0041,0.9298,White,0.00055
park,0.0005,0.8329,0.0012,0.0003,0.1646,API,0.00055
oconnor,0.0013,0.0047,0.0048,0.0009,0.988,White,0.00054
love,0.0042,0.0121,0.1491,0.0032,0.8298,White,0.00054
charles,0.0119,0.0038,0.2639,0.0069,0.7117,White,0.00054
crawford,0.0018,0.0011,0.0986,0.0031,0.8948,White,0.00054
rowland,0.0027,0.0019,0.0339,0.0035,0.9574,White,0.00054
connolly,0.0008,0.0033,0.0011,0.004,0.9904,White,0.00054
sheppard,0.0034,0.0013,0.1042,0.0032,0.8872,White,0.00053
rowe,0.0052,0.0052,0.0351,0.0014,0.9524,White,0.00053
sanderson,0.0036,0.0025,0.0242,0.0081,0.9609,White,0.00053
hewitt,0.0018,0.0024,0.0385,0.0014,0.9552,White,0.00053
forrest,0.0011,0.001,0.059,0.0015,0.9369,White,0.00053
harding,0.0022,0.0021,0.0542,0.0035,0.9374,White,0.00053
banks,0.0025,0.0028,0.2884,0.002,0.7029,White,0.00053
humphreys,0.0042,0.0024,0.1323,0.0009,0.8598,White,0.00053
glover,0.003,0.0017,0.267,0.0022,0.7251,White,0.00053
garner,0.0026,0.0022,0.0801,0.0024,0.912,White,0.00052
goodwin,0.0052,0.0062,0.0692,0.004,0.9147,White,0.00052
david,0.0193,0.0517,0.0418,0.0044,0.8819,White,0.00052
mackay,0.0061,0.0044,0.0048,0.0005,0.9836,White,0.00052
jeffery,0.0017,0.0022,0.1001,0.0019,0.8935,White,0.00052
daniels,0.0036,0.0034,0.2206,0.0052,0.7662,White,0.00052
yates,0.0013,0.0016,0.0462,0.0016,0.9488,White,0.00052
sullivan,0.0021,0.0019,0.0224,0.002,0.9712,White,0.00051
howe,0.0024,0.0184,0.0087,0.0072,0.9626,White,0.00051
hammond,0.0017,0.0024,0.0799,0.0027,0.9124,White,0.00051
miles,0.0033,0.0025,0.1149,0.0024,0.8762,White,0.00051
brady,0.0012,0.0006,0.0148,0.0016,0.9815,White,0.00051
preston,0.0015,0.0011,0.0707,0.0024,0.9237,White,0.00051
mcleod,0.0027,0.0019,0.1033,0.0019,0.8894,White,0.00051
leigh,0.0019,0.0042,0.0366,0.001,0.9557,White,0.00051
atherton,0.0027,0.0009,0.0026,0.0008,0.9926,White,0.00051
carpenter,0.0022,0.0025,0.0288,0.0036,0.9625,White,0.00051
lambert,0.0064,0.0058,0.0386,0.0074,0.9411,White,0.00051
knowles,0.0014,0.0016,0.0334,0.0022,0.9607,White,0.0005
hope,0.0039,0.0017,0.0818,0.0019,0.9101,White,0.0005
barton,0.0022,0.0012,0.0189,0.0033,0.9741,White,0.0005
finch,0.0029,0.0029,0.034,0.0013,0.9582,White,0.0005
blake,0.0016,0.0005,0.0636,0.0017,0.9321,White,0.0005
fuller,0.0017,0.0019,0.0744,0.003,0.9185,White,0.0005
henry,0.0126,0.0113,0.1325,0.006,0.8366,White,0.0005
hobbs,0.0035,0.0012,0.0529,0.0029,0.9389,White,0.0005
morton,0.0021,0.0013,0.0498,0.0015,0.9448,White,0.0005
davison,0.0263,0.0008,0.2042,0,0.7686,White,0.0005
owens,0.0031,0.0017,0.127,0.0041,0.8634,White,0.0005
wilkins,0.027,0.0044,0.15,0.0086,0.8087,White,0.0005
dennis,0.0044,0.0027,0.077,0.0016,0.9136,White,0.00049
paterson,0.0046,0.0073,0.0515,0.0031,0.9327,White,0.00049
coates,0.0016,0.001,0.0589,0.004,0.9339,White,0.00049
howells,0.0012,0.0019,0.0099,0.0011,0.9853,White,0.00049
gough,0.0017,0.0015,0.0309,0.0015,0.9638,White,0.00049
woodward,0.0019,0.0013,0.0147,0.0034,0.9782,White,0.00049
griffin,0.0012,0.0007,0.0849,0.0012,0.9115,White,0.00049
bloggs,0.0007,0.0005,0.0029,0,0.9959,White,0.00049
wall,0.0012,0.0049,0.0235,0.0032,0.9665,White,0.00048
christie,0.0031,0.0033,0.0313,0.0039,0.9579,White,0.00048
duffy,0.0018,0.0023,0.0093,0.0014,0.9849,White,0.00048
charlton,0.0032,0.0038,0.056,0.0014,0.9351,White,0.00048
vincent,0.0112,0.016,0.0355,0.0015,0.935,White,0.00048
bowen,0.0023,0.0125,0.0339,0.0035,0.9471,White,0.00048
browne,0.0041,0.0027,0.1416,0.0027,0.8479,White,0.00048
rodgers,0.0002,0,0.8509,0,0.1489,Black,0.00048
smart,0.0021,0.0085,0.0758,0.0117,0.9005,White,0.00048
donaldson,0.0034,0.0021,0.1632,0.0013,0.8289,White,0.00047
wheeler,0.0016,0.0015,0.0468,0.0022,0.9473,White,0.00047
quinn,0.0019,0.0019,0.0204,0.0009,0.9745,White,0.00047
allan,0.0117,0.0174,0.0155,0.0019,0.9525,White,0.00047
bowden,0.0015,0.0009,0.0938,0.0024,0.9007,White,0.00047
gibbons,0.0018,0.0021,0.035,0.003,0.9576,White,0.00047
bentley,0.0014,0.0016,0.04,0.001,0.9555,White,0.00047
barnett,0.0021,0.0019,0.0505,0.0022,0.9427,White,0.00047
sweeney,0.0036,0.0027,0.0126,0.0008,0.98,White,0.00047
steele,0.0017,0.0013,0.0411,0.0029,0.9525,White,0.00046
hartley,0.0012,0.0012,0.0185,0.0008,0.978,White,0.00046
randall,0.0016,0.0009,0.0578,0.0026,0.9366,White,0.00046
fowler,0.0012,0.0019,0.0428,0.0051,0.9483,White,0.00046
douglas,0.0028,0.0011,0.1087,0.0016,0.8851,White,0.00046
holt,0.0027,0.0016,0.0438,0.0018,0.9495,White,0.00046
baird,0.0013,0.0013,0.0048,0.0019,0.9903,White,0.00046
kerr,0.0067,0.0064,0.0169,0.0022,0.9672,White,0.00046
brennan,0.0012,0.0009,0.0016,0.0006,0.9955,White,0.00046
howell,0.0056,0.0046,0.0542,0.0022,0.9327,White,0.00046
cartwright,0.0024,0.0016,0.0842,0.0039,0.9071,White,0.00045
dickson,0.0012,0.0034,0.6444,0,0.3509,Black,0.00045
benson,0.0012,0.0041,0.5932,0,0.4015,Black,0.00045
goddard,0.0009,0.0011,0.0209,0.003,0.9735,White,0.00045
broadhurst,0.0014,0.0018,0.0333,0.0004,0.963,White,0.00045
doherty,0.0019,0.0022,0.0043,0.0008,0.9903,White,0.00045
singh,0.0004,0.982,0.0005,0,0.0171,API,0.00045
power,0.0052,0.0188,0.0286,0,0.9473,White,0.00045
watkins,0.0028,0.0015,0.1333,0.0047,0.8569,White,0.00045
millar,0.0039,0.0028,0.0101,0.0008,0.9819,White,0.00044
holden,0.0015,0.0011,0.0437,0.0018,0.9514,White,0.00044
tait,0.0012,0.0009,0.0176,0.0005,0.9795,White,0.00044
reilly,0.0014,0.001,0.001,0.0002,0.9961,White,0.00044
thorne,0.0015,0.0013,0.0543,0.003,0.9393,White,0.00044
wyatt,0.0015,0.0005,0.0471,0.0015,0.949,White,0.00044
leach,0.0026,0.0013,0.0452,0.0044,0.946,White,0.00044
lord,0.0074,0.003,0.0978,0,0.8918,White,0.00044
hilton,0.0058,0.0036,0.062,0.0015,0.9264,White,0.00044
adam,0.0089,0.0077,0.0244,0.0009,0.957,White,0.00044
mclean,0.0024,0.0025,0.0867,0.0018,0.9057,White,0.00044
jennings,0.0009,0.0021,0.0862,0.0017,0.9085,White,0.00044
nash,0.0052,0.0084,0.0814,0.0031,0.9005,White,0.00044
mcgregor,0.0028,0.0005,0.0287,0.0029,0.9646,White,0.00043
hancock,0.0021,0.0021,0.0237,0.0048,0.9668,White,0.00043
silva,0.5159,0.0175,0.0045,0,0.462,Hispanic,0.00043
stuart,0.0014,0.0009,0.0236,0.001,0.9727,White,0.00043
nelson,0.0297,0.0103,0.0558,0.0046,0.8984,White,0.00043
walters,0.0027,0.0023,0.0395,0.0051,0.9499,White,0.00043
lindsay,0.0019,0.0009,0.0502,0.0011,0.9455,White,0.00043
hooper,0.0034,0.0025,0.0454,0.0092,0.9388,White,0.00043
seymour,0.0018,0.0013,0.0297,0.0029,0.9638,White,0.00042
dale,0.0012,0.0011,0.0341,0.004,0.9592,White,0.00042
mac,0.0019,0.6741,0.0222,0.0024,0.2986,API,0.00042
whelan,0.0015,0.0101,0.0009,0.0006,0.9862,White,0.00042
obrien,0.0018,0.0009,0.0052,0.0009,0.9909,White,0.00042
barlow,0.0021,0.0019,0.0407,0.007,0.9479,White,0.00042
kenny,0.0028,0.0088,0.0173,0.0014,0.9692,White,0.00042
carroll,0.0012,0.0006,0.0337,0.0013,0.9629,White,0.00042
chadwick,0.0019,0.0011,0.0185,0.0012,0.9768,White,0.00042
abbott,0.0028,0.0023,0.0149,0.0035,0.9759,White,0.00042
mellor,0.0032,0.0049,0.0029,0.0006,0.9882,White,0.00042
boyd,0.0011,0.001,0.1033,0.0027,0.8914,White,0.00042
perkins,0.0033,0.003,0.1045,0.0039,0.8843,White,0.00042
mann,0.0039,0.1055,0.0339,0.0066,0.848,White,0.00042
mohamed,0.0032,0.3473,0.1603,0.0013,0.3486,White,0.00041
mcgrath,0.003,0.0013,0.0013,0.001,0.9931,White,0.00041
joyce,0.002,0.0031,0.0239,0.0006,0.9701,White,0.00041
blair,0.0014,0.0008,0.0401,0.0013,0.956,White,0.00041
weaver,0.0017,0.0012,0.0282,0.0055,0.9629,White,0.00041
little,0.0026,0.0033,0.0697,0.0159,0.9077,White,0.00041
haines,0.0021,0.0024,0.021,0.0026,0.9712,White,0.00041
peters,0.0022,0.0062,0.0475,0.0089,0.9343,White,0.00041
savage,0.0035,0.0033,0.0656,0.0047,0.9222,White,0.00041
sanders,0.0035,0.0021,0.1623,0.0045,0.8269,White,0.00041
baldwin,0.0073,0.0092,0.0691,0.0035,0.9101,White,0.00041
thornton,0.0013,0.001,0.1394,0.0024,0.8553,White,0.00041
whitehouse,0.0021,0.0033,0.0063,0.0044,0.9836,White,0.00041
whitehead,0.0023,0.0018,0.1019,0.0019,0.8915,White,0.00041
